ticket_month,avg_csat
2022-01,3.629575402635432
2022-02,3.6443298969072164
2022-03,3.5731523378582204
2022-04,3.654490106544901
2022-05,3.6577287066246056
2022-06,3.6108527131782946
2022-07,3.5966942148760332
2022-08,3.594395280235988
2022-09,3.6276083467094704
2022-10,3.6847222222222222
2022-11,3.6779661016949152
2022-12,3.6104477611940298
2023-01,3.638235294117647
2023-02,3.6464646464646466
2023-03,3.6276923076923078
2023-04,3.629449838187702
2023-05,3.5918057663125946
2023-06,3.6858974358974357
2023-07,3.6128048780487805
2023-08,3.661450924608819
2023-09,3.6064139941690962
2023-10,3.648843930635838
2023-11,3.6430722891566263
2023-12,3.5916542473919524
2024-01,3.6712121212121214
2024-02,3.678048780487805
2024-03,3.5976505139500734
2024-04,3.659270998415214
2024-05,3.6296296296296298
2024-06,3.75
