customer_id,invoice_month,mrr
CUST_00001,2022-04,98.08
CUST_00001,2022-05,97.95
CUST_00001,2022-06,91.16
CUST_00001,2022-07,79.4
CUST_00001,2022-08,120.67
CUST_00001,2022-09,104.2
CUST_00001,2022-10,89.09
CUST_00001,2022-11,104.23
CUST_00001,2022-12,101.98
CUST_00001,2023-01,72.21
CUST_00001,2023-02,82.97
CUST_00001,2023-03,102.44
CUST_00001,2023-04,108.31
CUST_00001,2023-05,95.85
CUST_00001,2023-06,92.31
CUST_00001,2023-07,97.37
CUST_00001,2023-08,92.31
CUST_00001,2023-09,94.16
CUST_00001,2023-10,94.14
CUST_00001,2023-11,79.71
CUST_00001,2023-12,110.12
CUST_00001,2024-01,74.37
CUST_00001,2024-02,85.81
CUST_00001,2024-03,104.72
CUST_00001,2024-04,106.48
CUST_00001,2024-05,78.83
CUST_00001,2024-06,96.18
CUST_00002,2024-04,226.81
CUST_00002,2024-05,276.85
CUST_00002,2024-06,350.8
CUST_00003,2021-02,89.71
CUST_00003,2021-03,98.31
CUST_00003,2021-04,67.6
CUST_00003,2021-05,111.67
CUST_00003,2021-06,94.62
CUST_00003,2021-07,109.58
CUST_00003,2021-08,90.92
CUST_00003,2021-09,95.75
CUST_00003,2021-10,90.24
CUST_00003,2021-11,85.08
CUST_00003,2021-12,115.7
CUST_00003,2022-01,96.85
CUST_00003,2022-02,107.13
CUST_00003,2022-03,90.48
CUST_00003,2022-04,98.7
CUST_00003,2022-05,124.46
CUST_00003,2022-06,98.44
CUST_00003,2022-07,94.74
CUST_00003,2022-08,94.89
CUST_00003,2022-09,96.3
CUST_00003,2022-10,82.79
CUST_00003,2022-11,85.41
CUST_00003,2022-12,116.61
CUST_00003,2023-01,100.87
CUST_00003,2023-02,103.53
CUST_00003,2023-03,118.44
CUST_00003,2023-04,86.38
CUST_00003,2023-05,84.17
CUST_00003,2023-06,98.57
CUST_00003,2023-07,92.75
CUST_00003,2023-08,76.26
CUST_00003,2023-09,82.19
CUST_00003,2023-10,87.14
CUST_00003,2023-11,96.5
CUST_00003,2023-12,107.52
CUST_00003,2024-01,95.42
CUST_00003,2024-02,72.09
CUST_00003,2024-03,93.98
CUST_00003,2024-04,85.87
CUST_00003,2024-05,141.04
CUST_00003,2024-06,92.63
CUST_00004,2023-07,250.18
CUST_00004,2023-08,352.29
CUST_00004,2023-09,269.58
CUST_00004,2023-10,370.36
CUST_00004,2023-11,218.39
CUST_00004,2023-12,227.82
CUST_00004,2024-01,275.56
CUST_00004,2024-02,238.4
CUST_00004,2024-03,298.83
CUST_00004,2024-04,264.85
CUST_00004,2024-05,336.27
CUST_00004,2024-06,270.1
CUST_00005,2023-05,88.29
CUST_00005,2023-06,115.02
CUST_00005,2023-07,66.29
CUST_00005,2023-08,73.72
CUST_00005,2023-09,84.6
CUST_00005,2023-10,101.33
CUST_00005,2023-11,109.81
CUST_00005,2023-12,110.93
CUST_00005,2024-01,95.68
CUST_00005,2024-02,77.42
CUST_00005,2024-03,106.5
CUST_00005,2024-04,98.5
CUST_00005,2024-05,77.0
CUST_00005,2024-06,132.49
CUST_00006,2021-07,949.22
CUST_00006,2021-08,798.28
CUST_00006,2021-09,990.38
CUST_00006,2021-10,898.41
CUST_00006,2021-11,945.37
CUST_00006,2021-12,967.66
CUST_00006,2022-01,910.05
CUST_00006,2022-02,993.72
CUST_00006,2022-03,1042.06
CUST_00006,2022-04,901.2
CUST_00006,2022-05,1189.29
CUST_00006,2022-06,859.76
CUST_00006,2022-07,806.94
CUST_00006,2022-08,882.93
CUST_00006,2022-09,1063.09
CUST_00006,2022-10,967.72
CUST_00006,2022-11,1092.65
CUST_00006,2022-12,1062.01
CUST_00006,2023-01,894.46
CUST_00006,2023-02,905.99
CUST_00006,2023-03,831.12
CUST_00006,2023-04,1029.36
CUST_00006,2023-05,776.02
CUST_00006,2023-06,899.62
CUST_00006,2023-07,1022.5
CUST_00006,2023-08,1009.78
CUST_00006,2023-09,873.37
CUST_00006,2023-10,1136.25
CUST_00006,2023-11,1018.44
CUST_00006,2023-12,853.09
CUST_00006,2024-01,959.99
CUST_00006,2024-02,1065.67
CUST_00006,2024-03,1270.14
CUST_00006,2024-04,1124.07
CUST_00006,2024-05,1078.6
CUST_00006,2024-06,911.3
CUST_00007,2021-03,72.72
CUST_00007,2021-04,137.96
CUST_00007,2021-05,75.72
CUST_00007,2021-06,79.65
CUST_00007,2021-07,116.79
CUST_00007,2021-08,90.16
CUST_00007,2021-09,105.48
CUST_00007,2021-10,100.09
CUST_00007,2021-11,82.04
CUST_00007,2021-12,76.02
CUST_00007,2022-01,99.52
CUST_00007,2022-02,83.16
CUST_00007,2022-03,101.94
CUST_00007,2022-04,105.88
CUST_00007,2022-05,87.57
CUST_00007,2022-06,74.14
CUST_00007,2022-07,91.9
CUST_00007,2022-08,77.84
CUST_00007,2022-09,115.99
CUST_00007,2022-10,135.3
CUST_00007,2022-11,113.06
CUST_00007,2022-12,114.86
CUST_00007,2023-01,85.19
CUST_00007,2023-02,95.0
CUST_00007,2023-03,85.74
CUST_00007,2023-04,57.61
CUST_00007,2023-05,84.24
CUST_00007,2023-06,115.04
CUST_00007,2023-07,67.81
CUST_00007,2023-08,122.92
CUST_00007,2023-09,83.38
CUST_00007,2023-10,73.04
CUST_00007,2023-11,96.78
CUST_00007,2023-12,104.44
CUST_00007,2024-01,94.2
CUST_00007,2024-02,125.17
CUST_00007,2024-03,82.68
