customer_id,segment,region,plan_type,total_revenue,churn_probability,ml_risk_tier,engagement_score,tenure_days
CUST_03441,SMB,East,Enterprise,7965.290000000001,0.006482957308249786,Low,21.31,929
CUST_09820,SMB,International,Enterprise,9193.23,0.006174308224322551,Low,20.91,983
CUST_00965,SMB,North,Enterprise,2175.92,0.006106326008254066,Low,41.83,750
CUST_08429,SMB,International,Enterprise,17459.85,0.005372738983180816,Low,17.31,1245
CUST_04205,SMB,South,Enterprise,5758.69,0.004808102186042215,Low,57.14,872
CUST_06138,Mid-Market,East,Enterprise,3966.64,0.004726977486550479,Low,43.43,828
CUST_04839,SMB,North,Enterprise,4810.41,0.004570071953765269,Low,51.43,829
CUST_08977,SMB,North,Pro,6910.14,0.004431147021866652,Low,13.71,1381
CUST_02506,SMB,West,Enterprise,3583.67,0.004336589609308864,Low,57.14,816
CUST_07918,SMB,International,Enterprise,14389.56,0.004311307046678491,Low,38.11,1135
CUST_05017,SMB,South,Enterprise,3989.52,0.004310331037303794,Low,62.86,827
CUST_00184,SMB,International,Pro,3234.25,0.004305766400715141,Low,27.43,1031
CUST_03802,SMB,West,Pro,4330.29,0.004296256957249431,Low,27.03,1151
CUST_03401,SMB,North,Pro,982.85,0.004211819042588657,Low,37.54,778
CUST_09637,SMB,East,Pro,499.16,0.004210105850079393,Low,31.83,754
CUST_04656,SMB,International,Pro,9831.58,0.0041897677827195026,Low,27.83,1723
CUST_07183,SMB,East,Enterprise,1685.7800000000002,0.00418718922829864,Low,62.86,741
CUST_02170,SMB,North,Pro,6593.59,0.004163225138920545,Low,37.14,1369
CUST_07228,SMB,North,Pro,8463.210000000001,0.004149157064795834,Low,29.43,1557
CUST_05284,SMB,North,Pro,2429.33,0.00414076767362633,Low,28.23,953
CUST_04972,SMB,International,Pro,2417.37,0.004137321910909112,Low,29.03,980
CUST_00503,SMB,East,Pro,2929.5,0.004136162328306008,Low,27.03,976
CUST_09285,SMB,East,Pro,6461.64,0.004122441613212782,Low,37.14,1386
CUST_02077,SMB,South,Pro,6374.46,0.004120500139961857,Low,17.71,1362
CUST_02094,SMB,North,Pro,2733.37,0.004111711115511549,Low,27.03,962
CUST_07038,SMB,West,Pro,4795.41,0.004109796532629426,Low,18.51,1245
CUST_00432,SMB,East,Enterprise,8717.14,0.004064350821959816,Low,57.14,979
CUST_05534,Mid-Market,International,Enterprise,18765.16,0.0040600646438258255,Low,21.71,1276
CUST_00725,SMB,North,Pro,1498.36,0.004055202537996649,Low,22.51,840
CUST_09435,SMB,East,Pro,2361.88,0.004009954867669889,Low,29.83,935
CUST_02064,SMB,West,Enterprise,11845.41,0.003995459548576336,Low,68.57,1085
CUST_06397,SMB,West,Enterprise,7239.490000000001,0.0039546463000717695,Low,62.86,938
CUST_02535,SMB,North,Pro,12616.62,0.003952798121031888,Low,30.63,1980
CUST_02408,SMB,East,Pro,1572.65,0.003938162814603711,Low,31.43,840
CUST_06267,SMB,North,Enterprise,18127.38,0.003901995309518939,Low,42.63,1233
CUST_08205,SMB,West,Pro,4506.87,0.0038675893525031094,Low,31.43,1136
CUST_07182,SMB,East,Enterprise,4400.43,0.0038604292190426866,Low,68.57,850
CUST_01809,SMB,South,Enterprise,1710.9699999999998,0.003839810128576908,Low,62.86,746
CUST_01179,SMB,South,Pro,9032.76,0.0038177231089827077,Low,60.57,1704
CUST_08629,SMB,West,Pro,8881.47,0.0037936526294983317,Low,35.03,1622
CUST_01710,SMB,International,Pro,5199.26,0.003782843785248812,Low,34.23,1215
CUST_05225,Mid-Market,International,Pro,1168.36,0.003765107190483147,Low,14.51,807
CUST_08396,SMB,North,Enterprise,6142.73,0.003757786202633458,Low,62.86,907
CUST_08193,SMB,South,Enterprise,21031.62,0.0037052623696936346,Low,45.43,1347
CUST_01565,SMB,East,Pro,3717.1,0.003700017860297832,Low,41.94,1111
CUST_01877,SMB,North,Enterprise,16848.12,0.0036863371877485004,Low,57.14,1232
CUST_00668,SMB,West,Pro,7261.33,0.0036843951757745694,Low,40.34,1420
CUST_04143,SMB,International,Pro,7325.85,0.003669010519210947,Low,37.43,1489
CUST_02210,SMB,North,Pro,10114.07,0.0036603119809989044,Low,40.74,1743
CUST_05967,Mid-Market,North,Enterprise,9559.29,0.0036550955569581815,Low,48.63,1004
