ticket_month,avg_resolution_hours,rolling_3m_avg,z_score,is_anomaly
2022-01,28.43484626647145,28.43484626647145,-0.5198,False
2022-02,29.290378006872853,28.86261213667215,0.5952,False
2022-03,29.41628959276018,29.04717128870149,0.7593,False
2022-04,29.427701674277017,29.378123091303348,0.7741,False
2022-05,27.662460567823345,28.835483944953513,-1.5265,True
2022-06,29.165891472868218,28.752017904989525,0.4329,False
2022-07,29.948760330578512,28.92570412375669,1.4532,False
2022-08,29.575221238938052,29.563291014128264,0.9664,False
2022-09,27.712680577849117,29.078887382455225,-1.461,False
2022-10,26.933333333333334,28.07374505004017,-2.4767,True
2022-11,28.491525423728813,27.71251311163709,-0.446,False
2022-12,29.56865671641791,28.331171824493353,0.9579,False
2023-01,28.141176470588235,28.73378620357832,-0.9026,False
2023-02,28.772727272727273,28.827520153244468,-0.0795,False
2023-03,29.25846153846154,28.72412176059235,0.5536,False
2023-04,29.580906148867314,29.204031653352043,0.9738,False
2023-05,29.147192716236724,29.328853467855193,0.4086,False
2023-06,28.40224358974359,29.043447484949212,-0.5623,False
2023-07,29.224085365853657,28.92450722394466,0.5088,False
2023-08,27.7823613086771,28.469563421424784,-1.3702,False
2023-09,29.862973760932945,28.956473478487897,1.3414,False
2023-10,28.696531791907514,28.78062228717252,-0.1788,False
2023-11,28.20632530120482,28.921943618015092,-0.8177,False
2023-12,28.874813710879284,28.59255693466387,0.0536,False
2024-01,27.39242424242424,28.15785441816945,-1.8784,True
2024-02,29.31056910569106,28.525935686331525,0.6215,False
2024-03,28.591776798825258,28.431590048980183,-0.3153,False
2024-04,29.81933438985737,29.24056009812456,1.2846,False
2024-05,29.06962962962963,29.160246939437418,0.3075,False
2024-06,29.25,29.379654673162335,0.5425,False
